date,stat
2024-08-03,30438.87829
2024-08-04,37189.01011
2024-08-05,46009.89406
2024-08-06,43167.92274
2024-08-07,44997.08697
2024-08-08,36116.75735
2024-08-09,39173.93628
2024-08-10,30557.02507
2024-08-11,30659.81237
2024-08-12,39556.60807
2024-08-13,39040.79265
2024-08-14,36567.97462
2024-08-15,32383.00774
2024-08-16,34809.49486
2024-08-17,30274.16341
2024-08-18,34687.12273
2024-08-19,44125.87069
2024-08-20,42691.99211
2024-08-21,45485.0119
2024-08-22,39862.781
2024-08-23,40397.27061
2024-08-24,34715.19503
2024-08-25,38670.89077
2024-08-26,46714.27611
2024-08-27,45903.75923
2024-08-28,52323.67009
2024-08-29,49330.84928
2024-08-30,47549.94921
2024-08-31,43008.24093
2024-09-01,57249.32321
2024-09-02,55461.00315
2024-09-03,54727.71461
2024-09-04,57483.72563
2024-09-05,53436.51472
2024-09-06,46281.75059
2024-09-07,40418.74145
2024-09-08,52913.42522
2024-09-09,50912.72167
2024-09-10,52527.28338
2024-09-11,56546.02807
2024-09-12,45502.42621
2024-09-13,45055.75695
2024-09-14,35558.04454
2024-09-15,43196.47362
2024-09-16,52481.04392
2024-09-17,48265.32858
2024-09-18,47081.38657
2024-09-19,40796.58729
2024-09-20,44584.04316
2024-09-21,38187.67918
2024-09-22,45307.18658
2024-09-23,50285.33461
2024-09-24,53129.64507
2024-09-25,51334.80908
2024-09-26,55501.05083
2024-09-27,51237.72974
2024-09-28,44552.5446
2024-09-29,56982.47
2024-09-30,67252.8196
2024-10-01,65225.31937
2024-10-02,72056.94616
2024-10-03,58795.70104
2024-10-04,55067.78053
2024-10-05,44774.41339
2024-10-06,61871.07822
2024-10-07,63620.26473
2024-10-08,60782.32083
2024-10-09,68303.68306
2024-10-10,58218.76637
2024-10-11,50566.07405
2024-10-12,44101.89648
2024-10-13,53974.73992
2024-10-14,64479.61485
2024-10-15,55504.44205
2024-10-16,58941.2682
2024-10-17,47827.10556
2024-10-18,47320.31976
2024-10-19,42222.76087
2024-10-20,50473.23105
2024-10-21,57856.63655
2024-10-22,55296.96573
2024-10-23,51243.34071
